campaign,ad_group,asset_type,slot,text,chars
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,5,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,6,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,7,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,8,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,9,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,10,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,11,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,12,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,13,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,14,Focused Training Review Today,29
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,headline,15,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Integrated Behavioral Health Consulting,description,4,Schedule today to compare support options before campaign approval and account import,85
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,1,Empathic Communication Help,27
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,2,Communication Training Help,27
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,3,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,4,Practical Support Planning,26
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,5,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,6,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,7,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,8,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,9,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,10,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,11,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,12,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,13,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,14,Focused Training Review Today,29
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,headline,15,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Empathic Communication Training,description,4,Schedule today to compare support options before campaign approval and account import,85
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,1,Clinical Team Support Plans,27
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,2,Clinical Support Planning,25
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,3,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,4,Practical Support Planning,26
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,5,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,6,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,7,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,8,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,9,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,10,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,11,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,12,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,13,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,14,Focused Training Review Today,29
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,headline,15,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Clinical Support,description,4,Schedule today to compare support options before campaign approval and account import,85
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,1,Learning Development Help,25
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,2,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,3,Practical Support Planning,26
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,4,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,5,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,6,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,7,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,8,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,9,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,10,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,11,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,12,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,13,Focused Training Review Today,29
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,14,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,headline,15,Compare Support Options Today,29
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Learning and Development,description,4,Schedule today to compare support options before campaign approval and account import,85
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,1,Human Centered Care Plans,25
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,2,Human Centered Consulting,25
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,3,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,4,Practical Support Planning,26
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,5,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,6,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,7,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,8,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,9,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,10,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,11,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,12,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,13,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,14,Focused Training Review Today,29
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,headline,15,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Human-Centered Care Consulting,description,4,Schedule today to compare support options before campaign approval and account import,85
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,1,Trauma Informed Training Help,29
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,2,Care Team Training Support,26
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,3,EM Consulting Support Team,26
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,4,Practical Support Planning,26
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,5,Training for Care Teams Now,27
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,6,Support for Better Access,25
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,7,Build Human Centered Care,25
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,8,Clear Implementation Steps,26
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,9,Review Team Support Needs,25
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,10,Improve Care Team Readiness,27
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,11,Plan Your Next Service Step,27
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,12,Consulting for Care Teams,25
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,13,Skills for Support Teams Now,28
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,14,Request Program Details Now,27
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,headline,15,Compare Support Options Today,29
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,description,1,Request details to confirm service fit audience needs timing and budget before launch,85
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,description,2,Schedule today to review training and consulting options with a practical support team,86
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,description,3,Request details on scope stakeholders implementation needs and launch readiness,79
ARC - Search - Mental Health Consulting - V1,Services - Trauma-Informed Care Training,description,4,Schedule today to compare support options before campaign approval and account import,85
