Campaign,Asset Group,Status,Type,Targeting,Keywords,Geographic Targeting,Networks,Bid Strategy Type,Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC
wrights_broward_hollywood_search,windows_hwd_search,Disabled,Search,Service + Local,impact windows hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Target CPA,,45.0,,
wrights_broward_hollywood_search,doors_hwd_search,Disabled,Search,Service + Local,impact doors hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Maximize Conversions,,,,
wrights_broward_hollywood_search,hurricane_hwd_search,Disabled,Search,Service + Local,hurricane protection hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_hollywood_search,energy_hwd_search,Disabled,Search,Service + Local,energy efficiency hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Maximize Conversions,,,,
wrights_broward_hollywood_search,commercial_hwd_search,Disabled,Search,Service + Local,commercial solutions hollywood near me,"Hollywood, FL - ZIP codes: 33004, 33009, 33019, 33020, 33021, 33022, 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33081, 33083, 33084",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_coral_springs_search,windows_cs_search,Disabled,Search,Service + Local,impact windows coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Target CPA,,45.0,,
wrights_broward_coral_springs_search,doors_cs_search,Disabled,Search,Service + Local,impact doors coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Maximize Conversions,,,,
wrights_broward_coral_springs_search,hurricane_cs_search,Disabled,Search,Service + Local,hurricane protection coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_coral_springs_search,energy_cs_search,Disabled,Search,Service + Local,energy efficiency coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Maximize Conversions,,,,
wrights_broward_coral_springs_search,commercial_cs_search,Disabled,Search,Service + Local,commercial solutions coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_pembroke_pines_search,windows_pp_search,Disabled,Search,Service + Local,impact windows pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Target CPA,,45.0,,
wrights_broward_pembroke_pines_search,doors_pp_search,Disabled,Search,Service + Local,impact doors pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Maximize Conversions,,,,
wrights_broward_pembroke_pines_search,hurricane_pp_search,Disabled,Search,Service + Local,hurricane protection pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_pembroke_pines_search,energy_pp_search,Disabled,Search,Service + Local,energy efficiency pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Maximize Conversions,,,,
wrights_broward_pembroke_pines_search,commercial_pp_search,Disabled,Search,Service + Local,commercial solutions pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_miramar_search,windows_miramar_search,Disabled,Search,Service + Local,impact windows miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Target CPA,,45.0,,
wrights_broward_miramar_search,doors_miramar_search,Disabled,Search,Service + Local,impact doors miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Maximize Conversions,,,,
wrights_broward_miramar_search,hurricane_miramar_search,Disabled,Search,Service + Local,hurricane protection miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_miramar_search,energy_miramar_search,Disabled,Search,Service + Local,energy efficiency miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Maximize Conversions,,,,
wrights_broward_miramar_search,commercial_miramar_search,Disabled,Search,Service + Local,commercial solutions miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Manual CPC,,,3.00,Disabled
