Asset groups report
"December 8, 2025 - January 6, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Clicks,Currency code,Cost,Conversions,Cost / conv.,Conv. rate,Impr.,CTR,Interactions,Interaction rate,Engagements,Engagement rate,Avg. CPC,Avg. CPE,Avg. cost,Avg. CPM,Conv. value,Conv. value / cost,Conv. value / click,Value / conv.,Value adjustment,New customer lifetime value,Win-back customer lifetime value,All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,All value adjustment,Campaign ID,Audience signal,Search themes,Asset group ID,Final URL,Mobile final URL,Policy details,Path 1,Path 2,Business name
PAUSED,asset group1,campaign 5,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106445678,In Market And Life Event Audiences, --,6617502614,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
ENABLED,Doors,2TON - West Coast - Performance Max,"Storm-Resistant Impact Doors, Upgrade to Hurricane Doors, Energy-Efficient Impact Doors, Impact Doors That Last, Impact Doors for Storm Safety, Protect Your Home, Enhance Your Home's Value, Keep Your Home Safe, Home Protection with Style, Upgrade Your Home’s Doors, Get A Free Estimate Today, Natural Light In Your Home, Serving Florida's West Coast, Make The Wright Choice, Protecting West Coast FL Homes","Upgrade to Storm-Resistant Impact Doors for Lasting Protection and Peace of Mind, Enhance Your Home’s Value and Safety with High-Quality Impact Doors, Protect Your Property with Impact Doors Designed for Florida’s Toughest Storms, Combining Safety, Style, and Energy Efficiency, Calling All West Coast Homeowners: Upgrade to Storm-Resistant Impact Doors with Wright's","Need impact doors on the West Coast? We have you covered, West Coast FL homeowners, protect your property with hurricane-ready impact doors now., Boost curb appeal and security with impact doors built to withstand Florida’s storms., We Offer A Wide Variety Of Styles And Options To Meet Your Needs., Increase property value and ensure lasting protection with high-quality impact doors.","https://tpc.googlesyndication.com/simgad/215448288871044035, https://tpc.googlesyndication.com/simgad/13210327779616495094, https://tpc.googlesyndication.com/simgad/13790345914092280928, https://tpc.googlesyndication.com/simgad/13770776486231043323, https://tpc.googlesyndication.com/simgad/15602355283465053300, https://tpc.googlesyndication.com/simgad/17577420621266255745, https://tpc.googlesyndication.com/simgad/7223538440927878134","https://tpc.googlesyndication.com/simgad/8114925868449677560, https://tpc.googlesyndication.com/simgad/1968098092568111533, https://tpc.googlesyndication.com/simgad/5873423370710121149, https://tpc.googlesyndication.com/simgad/9643931589759923373, https://tpc.googlesyndication.com/simgad/4712377153255274312, https://tpc.googlesyndication.com/simgad/1288083788731268080, https://tpc.googlesyndication.com/simgad/10296399610701630417","https://tpc.googlesyndication.com/simgad/1537146687359220222, https://tpc.googlesyndication.com/simgad/7285944966630849325, https://tpc.googlesyndication.com/simgad/14624703526082252411, https://tpc.googlesyndication.com/simgad/1046726791991568840, https://tpc.googlesyndication.com/simgad/12413221811015221623, https://tpc.googlesyndication.com/simgad/2746448436640382217",Good,Not eligible,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,21814023562,Impact Windows Audience Signal,"impact doors, hurricane impact doors, hurricane doors",6523304017,[https://wrightsimpactwindowanddoor.com/free-estimate/],[],[],products,doors,Wright's Impact Doors
ENABLED,Windows,2TON - West Coast - Performance Max,"Storm-Resistant Impact Windows, Windows That Withstand Storms, Energy-Efficient Windows, Impact Windows You Can Trust, Top-Rated Impact Windows, Protect Your Home, Enhance Your Home's Value, Keep Your Home Safe, Home Protection with Style, Upgrade Your Home’s Windows, Get A Free Estimate, Save on Energy Bills, Serving Florida's West Coast, Make The Wright Choice, Protecting West Coast FL Homes","Protect Your Home With Impact Windows That Offer Unbeatable Security, Enhance Your Home’s Value With Modern, Durable, and Stylish Impact Windows, Protect Your Home With Impact Windows That Withstand Florida’s Toughest Storms, Upgrade to Energy-Efficient Impact Windows and Reduce Your Energy Bills Year-Round, Trust Wright’s for Impact Windows That Deliver Safety, Energy Savings, and Modern Design","Upgrade to Strong, Stylish, Energy-Saving Impact Windows, Need impact windows on the West Coast? Wright's has you covered., Impact windows offer safety, energy savings, and peace of mind for your home. Learn more., Upgrade your home with impact windows—where modern design meets unbeatable security., West Coast FL homeowners, protect your property with hurricane-ready impact windows now.","https://tpc.googlesyndication.com/simgad/3544921520278084118, https://tpc.googlesyndication.com/simgad/17734147420419153261, https://tpc.googlesyndication.com/simgad/14127270033374991284, https://tpc.googlesyndication.com/simgad/15134989544760802152, https://tpc.googlesyndication.com/simgad/5545618771285705609, https://tpc.googlesyndication.com/simgad/10485636430936138732, https://tpc.googlesyndication.com/simgad/16093924520579968488","https://tpc.googlesyndication.com/simgad/7614380197446495361, https://tpc.googlesyndication.com/simgad/4550530773935492566, https://tpc.googlesyndication.com/simgad/5677762308937905461, https://tpc.googlesyndication.com/simgad/13084335335950862029, https://tpc.googlesyndication.com/simgad/6990856691898291164, https://tpc.googlesyndication.com/simgad/7185925545597359200","https://tpc.googlesyndication.com/simgad/12105973971741480535, https://tpc.googlesyndication.com/simgad/3579343102023402318, https://tpc.googlesyndication.com/simgad/3772993985714451623, https://tpc.googlesyndication.com/simgad/14584560127700701390, https://tpc.googlesyndication.com/simgad/12921248141330429484, https://tpc.googlesyndication.com/simgad/6377379488052349170, https://tpc.googlesyndication.com/simgad/6040721322118168871",Good,Not eligible,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,21814023562,Impact Windows Audience Signal,"hurricane impact windows, hurricane windows, Impact windows",6523310372,[https://wrightsimpactwindowanddoor.com/free-estimate/],[],[],products,windows,Wright's Impact Windows
ENABLED,Doors,2TON - Broward - Performance Max,"Storm-Resistant Impact Doors, Upgrade to Hurricane Doors, Energy-Efficient Impact Doors, Impact Doors That Last, Impact Doors for Storm Safety, Protect Your Home, Enhance Your Home's Value, Keep Your Home Safe, Home Protection with Style, Upgrade Your Home’s Doors, Get A Free Estimate Today, Serving Broward County, Save on Energy Bills, Make The Wright Choice, Protecting Broward Homes","Upgrade to Storm-Resistant Impact Doors for Lasting Protection and Peace of Mind, Enhance Your Home’s Value and Safety with High-Quality Impact Doors, Protect Your Property with Impact Doors Designed for Florida’s Toughest Storms, Combining Safety, Style, and Energy Efficiency, Calling All Broward Homeowners: Upgrade to Storm-Resistant Impact Doors with Wright's","Protect your home with lasting impact doors today., Need impact doors in Broward County? Wright's has you covered., Broward homeowners, protect your property with hurricane-ready impact doors now., Boost curb appeal and security with impact doors built to withstand Florida’s storms., Increase property value and ensure lasting protection with high-quality impact doors.","https://tpc.googlesyndication.com/simgad/15602355283465053300, https://tpc.googlesyndication.com/simgad/215448288871044035, https://tpc.googlesyndication.com/simgad/13790345914092280928, https://tpc.googlesyndication.com/simgad/13210327779616495094, https://tpc.googlesyndication.com/simgad/17577420621266255745, https://tpc.googlesyndication.com/simgad/7223538440927878134, https://tpc.googlesyndication.com/simgad/13770776486231043323","https://tpc.googlesyndication.com/simgad/4712377153255274312, https://tpc.googlesyndication.com/simgad/1968098092568111533, https://tpc.googlesyndication.com/simgad/9643931589759923373, https://tpc.googlesyndication.com/simgad/8114925868449677560, https://tpc.googlesyndication.com/simgad/10296399610701630417, https://tpc.googlesyndication.com/simgad/1288083788731268080, https://tpc.googlesyndication.com/simgad/5873423370710121149","https://tpc.googlesyndication.com/simgad/14624703526082252411, https://tpc.googlesyndication.com/simgad/2746448436640382217, https://tpc.googlesyndication.com/simgad/1537146687359220222, https://tpc.googlesyndication.com/simgad/1046726791991568840, https://tpc.googlesyndication.com/simgad/7285944966630849325, https://tpc.googlesyndication.com/simgad/12413221811015221623",Good,Not eligible,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,21183944156,Impact Windows Audience Signal,"impact doors, hurricane impact doors, hurricane doors",6496421765,[https://wrightsimpactwindowanddoor.com/free-estimate/],[],[],products,doors,Wright's Impact Doors
ENABLED,Doors,2TON - Palm Beach - Performance Max,"Storm-Resistant Impact Doors, Upgrade to Hurricane Doors, Energy-Efficient Impact Doors, Impact Doors That Last, Impact Doors for Storm Safety, Protect Your Home, Serving Palm Beach County, Enhance Your Home's Value, Keep Your Home Safe, Home Protection with Style, Upgrade Your Home’s Doors, Get A Free Estimate Today, Save on Energy Bills, Protecting Palm Beach Homes, Make The Wright Choice","Upgrade to Storm-Resistant Impact Doors for Lasting Protection and Peace of Mind, Enhance Your Home’s Value and Safety with High-Quality Impact Doors, Protect Your Property with Impact Doors Designed for Florida’s Toughest Storms, Combining Safety, Style, and Energy Efficiency, Calling All Palm Beach Homeowners: Upgrade to Storm-Resistant Impact Doors with Wright's","Protect your home with lasting impact doors today., Need impact doors in Palm Beach, St. Lucie, or Martin County? Wright's has you covered., South FL homeowners, protect your property with hurricane-ready impact doors now., Boost curb appeal and security with impact doors built to withstand Florida’s storms., Increase property value and ensure lasting protection with high-quality impact doors.","https://tpc.googlesyndication.com/simgad/15602355283465053300, https://tpc.googlesyndication.com/simgad/215448288871044035, https://tpc.googlesyndication.com/simgad/17577420621266255745, https://tpc.googlesyndication.com/simgad/13790345914092280928, https://tpc.googlesyndication.com/simgad/13210327779616495094, https://tpc.googlesyndication.com/simgad/7223538440927878134, https://tpc.googlesyndication.com/simgad/13770776486231043323","https://tpc.googlesyndication.com/simgad/4712377153255274312, https://tpc.googlesyndication.com/simgad/1968098092568111533, https://tpc.googlesyndication.com/simgad/9643931589759923373, https://tpc.googlesyndication.com/simgad/8114925868449677560, https://tpc.googlesyndication.com/simgad/10296399610701630417, https://tpc.googlesyndication.com/simgad/1288083788731268080, https://tpc.googlesyndication.com/simgad/5873423370710121149","https://tpc.googlesyndication.com/simgad/14624703526082252411, https://tpc.googlesyndication.com/simgad/2746448436640382217, https://tpc.googlesyndication.com/simgad/1537146687359220222, https://tpc.googlesyndication.com/simgad/1046726791991568840, https://tpc.googlesyndication.com/simgad/7285944966630849325, https://tpc.googlesyndication.com/simgad/12413221811015221623",Good,Not eligible,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,21277569010,Impact Windows Audience Signal,"impact doors, hurricane impact doors, hurricane doors",6498914835,[https://wrightsimpactwindowanddoor.com/free-estimate/],[],[],products,doors,Wright's Impact Doors
ENABLED,Windows,2TON - Palm Beach - Performance Max,"Storm-Resistant Impact Windows, Windows That Withstand Storms, Energy-Efficient Windows, Impact Windows You Can Trust, Top-Rated Impact Windows, Protect Your Home, Enhance Your Home's Value, Keep Your Home Safe, Home Protection with Style, Upgrade Your Home’s Windows, Get A Free Estimate, Save on Energy Bills, Serving Palm Beach County, Make The Wright Choice, Protecting Palm Beach FL Homes","Protect Your Home With Impact Windows That Offer Unbeatable Security, Enhance Your Home’s Value With Modern, Durable, and Stylish Impact Windows, Protect Your Home With Impact Windows That Withstand Florida’s Toughest Storms, Upgrade to Energy-Efficient Impact Windows and Reduce Your Energy Bills Year-Round, Trust Wright’s for Impact Windows That Deliver Safety, Energy Savings, and Modern Design","Upgrade to Strong, Stylish, Energy-Saving Impact Windows, Need impact windows in Palm Beach, St. Lucie, or Martin County? Wright's has you covered., Impact windows offer safety, energy savings, and peace of mind for your home. Learn more., Upgrade your home with impact windows—where modern design meets unbeatable security., Palm Beach homeowners, protect your property with hurricane-ready impact windows now.","https://tpc.googlesyndication.com/simgad/10485636430936138732, https://tpc.googlesyndication.com/simgad/5545618771285705609, https://tpc.googlesyndication.com/simgad/15134989544760802152, https://tpc.googlesyndication.com/simgad/14127270033374991284, https://tpc.googlesyndication.com/simgad/3544921520278084118, https://tpc.googlesyndication.com/simgad/17734147420419153261, https://tpc.googlesyndication.com/simgad/16093924520579968488","https://tpc.googlesyndication.com/simgad/5677762308937905461, https://tpc.googlesyndication.com/simgad/13084335335950862029, https://tpc.googlesyndication.com/simgad/7185925545597359200, https://tpc.googlesyndication.com/simgad/4550530773935492566, https://tpc.googlesyndication.com/simgad/7614380197446495361, https://tpc.googlesyndication.com/simgad/6990856691898291164, https://tpc.googlesyndication.com/simgad/15327472810458420379","https://tpc.googlesyndication.com/simgad/12921248141330429484, https://tpc.googlesyndication.com/simgad/14584560127700701390, https://tpc.googlesyndication.com/simgad/3772993985714451623, https://tpc.googlesyndication.com/simgad/6377379488052349170, https://tpc.googlesyndication.com/simgad/3579343102023402318, https://tpc.googlesyndication.com/simgad/12105973971741480535",Good,Not eligible,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,21277569010,Impact Windows Audience Signal,"hurricane impact windows, hurricane windows, Impact windows",6498914859,[https://wrightsimpactwindowanddoor.com/free-estimate/],[],[],products,windows,Wright's Impact Windows
PAUSED,asset group4,campaign 7,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385, --,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106446320, --, --,6633824608,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
PAUSED,asset group2,campaign 7,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385, --,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106446320, --, --,6618503604,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
PAUSED,asset group3,campaign 7,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385, --,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106446320, --, --,6633793644,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
PAUSED,asset group5,campaign 7,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385, --,Incomplete,Paused,"1,861",USD,1072.14,12.00,89.37,0.62%,"75,128",2.48%,"1,933",2.57%,83,22.49%,0.58,0.04,0.55,14.27,"4,650.71",4.34,2.41,387.66,0.00,0.00,0.00,"2,365.10",0.45,122.15%,"7,104.81",6.63,3.68,3.00,0.00,23106446320,In Market And Life Event Audiences, --,6640435196,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
ENABLED,Miami Asset Group,Miami - PMAX - WFX,"Hurricane Impact Windows, Impact Windows and Doors, Wright's Impact Window, Exterior Impact Windows, Impact Windows Miami, Impact Windows For Your Home, Impact Windows South Florida, Impact Window Installation, Impact Windows Available, Hurricane Protection, Impact Doors Florida, Exterior & Interior Doors, Home Safety & Security, Lifetime Guarantee, Increased Home Value","Wright's Impact Window and Door: Your Trusted Source for Hurricane Protection, Hurricane Impact Windows & Doors: Peace Of Mind For Your Family, Impact Windows & Doors: The Best Protection For Your Home, Increase The Value Of Your Home With Impact Windows & Doors, Impact Windows & Doors: Made to Protect Your Home","Contact Us Today to Get a Quote for your Home or Building, We Are A Leading Provider Of Impact Windows, Doors, And Hurricane Protection Systems., Hurricane Impact Windows & Doors. Residential & Commercial Doors Available., Wright Impact Window and Door protects your home and family from storms and intruders., Impact windows and doors can increase the value of your home.","https://tpc.googlesyndication.com/simgad/12159911699143393304, https://tpc.googlesyndication.com/simgad/9601379783251060887, https://tpc.googlesyndication.com/simgad/16965290649073638594, https://tpc.googlesyndication.com/simgad/12463939208559271405, https://tpc.googlesyndication.com/simgad/4591614027517485530, https://tpc.googlesyndication.com/simgad/1200953836707021792, https://tpc.googlesyndication.com/simgad/5580106505943148401","https://tpc.googlesyndication.com/simgad/3440051182576628195, https://tpc.googlesyndication.com/simgad/11903732839513363220, https://tpc.googlesyndication.com/simgad/9043131572853612432, https://tpc.googlesyndication.com/simgad/7623377292557183367, https://tpc.googlesyndication.com/simgad/10557862086136379123, https://tpc.googlesyndication.com/simgad/17736708978372172452, https://tpc.googlesyndication.com/simgad/9590382717929184512, https://tpc.googlesyndication.com/simgad/7204320210943107413, https://tpc.googlesyndication.com/simgad/2769877415599159469, https://tpc.googlesyndication.com/simgad/7171945235077328354","https://tpc.googlesyndication.com/simgad/6393699015184698899, https://tpc.googlesyndication.com/simgad/1597028704665101421, https://tpc.googlesyndication.com/simgad/13479218566726226444",Incomplete,Not eligible,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,21115164368,Website Interest,"hurricane windows, impact windows, impact doors, hurricane doors",6494089189,[https://wrightsimpactwindowanddoor.com/free-estimate/],[],[], --, --, --
PAUSED,asset group1,campaign 7,"unavailable1, unavailable2, unavailable3","unavailable4, unavailable5","unavailable6, unavailable7",https://tpc.googlesyndication.com/simgad/13973209939509282041,https://tpc.googlesyndication.com/simgad/6905099970679332385,https://tpc.googlesyndication.com/simgad/1427523031820139496,Incomplete,Paused,0,USD,0.00,0.00,0.00,0.00%,0, --,0, --,0, --,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0, --,0.00,0,0,0,0.00,23106446320,In Market And Life Event Audiences, --,6617502701,[https://wrightsimpactwindowanddoor.com/],[],[], --, --, --
Total: Unsupported entities,,,,,,,,,,,"3,588",USD,3460.98,35.00,98.89,0.92%,"148,244",2.42%,"3,812",2.57%,239,36.49%,0.96,0.04,0.91,23.35,"13,850.71",4.00,3.63,395.77,0.00,0.00,0.00,"4,482.67",0.77,117.49%,"18,366.38",5.31,4.82,4.10,0.00,,,,,,,,,,
