Search terms report
"April 26, 2026 - May 2, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Currency code,Cost,Impr.,CTR,Avg. CPC,Conv. rate,Conversions,Cost / conv.
emdr therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR & Trauma Therapy centre""",2,CAD,8.38,6,33.33%,4.19,0.00%,0.00,0.00
emdr therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",2,CAD,10.12,5,40.00%,5.06,0.00%,0.00,0.00
hanna ratjen,Phrase match (close variant),None,ARC - Regional - Search,Therapy - Trauma & PTSD,"""Trauma Counselling Toronto""",0,CAD,0.00,4,0.00%,0,0.00%,0.00,0.00
emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Psychotherapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs pain relief,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
florastor ibs sci,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
best emdr therapist toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapy for Trauma""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
chronic pain specialist near me,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy near me""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma counselling toronto""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
eye therapy for trauma,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
calm emdr,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs treatment canada,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
what helps fibromyalgia pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""best chronic pain treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""Eye Movement Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
cognitive behavior therapy for chronic pain,Phrase match,None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Trauma Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr mississauga,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain clinic mississauga queensway,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs flare up treatment,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",1,CAD,5.98,1,100.00%,5.98,0.00%,0.00,0.00
is emdr effective,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
inner child healing therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
access mental health ontario,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
therapy to forget trauma,Phrase match,None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
psychology today emdr therapist,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
hypnosis for back pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr trauma therapy toronto,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr trauma therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain reprocessing therapy toronto,Phrase match,None,ARC - Search - Services,Therapy - Chronic Pain,"""pain reprocessing therapy""",1,CAD,2.63,6,16.67%,2.63,0.00%,0.00,0.00
hf care asian mental health and well being markham,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
can emdr help with anxiety,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
what heals trauma,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Healing Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma centre toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma support ontario""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
st michael's hospital pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Anxiety Therapy""",1,CAD,3.16,1,100.00%,3.16,0.00%,0.00,0.00
treatment of ibs in females,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr eye movement desensitization and reprocessing,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
degroote pain clinic hamilton,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain reprocessing therapy toronto,Phrase match,None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain reprocessing Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
pain clinic near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,15,0.00%,0,0.00%,0.00,0.00
17730 leslie street newmarket pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
what is gut hypnotherapy,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut hypnotherapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
what helps with spinal stenosis pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
pain clinic downtown,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
probiotics for ibs,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
psychosomatic therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trigger point injections near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy near me""",1,CAD,1.78,1,100.00%,1.78,0.00%,0.00,0.00
pain specialists near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
dbr trauma therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
ibs best medicine,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ocd therapist,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
treatment for nerve pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
what does emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
betrayal trauma therapy near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Therapy For Trauma""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
hypnotherapy for trauma,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
gut health dietician near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health counseling""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - DBR,"""Eye Movement Desensitization And Reprocessing""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
somatic therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,10,0.00%,0,0.00%,0.00,0.00
which align probiotic is best for ibs,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dr perelman pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
foot pain relief near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dr sarno,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",1,CAD,1.59,5,20.00%,1.59,0.00%,0.00,0.00
emdr therapy toronto,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
mls laser near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
2 champagne drive pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
betrayal trauma therapy near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Anxiety Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
how is ibs treated,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""Therapy For IBS""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
edmr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
15 wellesley street west pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr cbt therapy,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs clinic toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emdr therapy vaughan,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
intensive trauma therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
premiere pain,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs treatment,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""Therapy for IBS""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
pain care near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy thunder bay,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
fsm treatment near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy near me""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
fibromyalgia treatment,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Treatment""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
what to do for irritable bowel syndrome,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
what is the best treatment for chronic lower back pain,Phrase match,None,ARC - Search - Services,Therapy - Chronic Pain,"""best chronic pain treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
deepbrain reorienting,Exact match (close variant),None,ARC - Search - Services,Therapy - DBR,"""Deep Brain Reorienting""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs treatment,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""Therapy For IBS""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain therapist,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
ptsd rapid eye movement therapy,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
gut therapy,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,[brain gut therapy],0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain relief,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
somatic therapy ontario,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,3,0.00%,0,0.00%,0.00,0.00
grief counselling scarborough,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""illness support therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
allevio clinic north york,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chiropractor fibromyalgia,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
trauma informed movement,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma-informed Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
therapist emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr trauma therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""Rapid Eye Movement Therapy""",0,CAD,0.00,8,0.00%,0,0.00%,0.00,0.00
trauma informed emdr therapist,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR and Trauma Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
eye tracking therapy,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
dr dima rozen,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
the gut centre toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health therapy in toronto""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain specialist,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",1,CAD,1.00,7,14.29%,1.00,0.00%,0.00,0.00
evette meikle,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma counselling toronto""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
eye movement desensitization and reprocessing emdr,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""PTSD Treatment""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
pain clinic barrie,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
trauma hypnotherapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",1,CAD,1.41,2,50.00%,1.41,0.00%,0.00,0.00
trauma focused cognitive behavioral therapy for sexually abused children,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
what is deep brain reorienting therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR And Trauma Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
eye movement desensitization and reprocessing emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emdr toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapy for Trauma""",1,CAD,13.42,2,50.00%,13.42,0.00%,0.00,0.00
pain clinic richmond hill,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
kopi pain clinic kingston,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",1,CAD,2.95,2,50.00%,2.95,0.00%,0.00,0.00
dr khetani pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",1,CAD,12.21,2,50.00%,12.21,0.00%,0.00,0.00
the pain clinic toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",2,CAD,34.31,11,18.18%,17.15,0.00%,0.00,0.00
pathways to healing & trauma therapy,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
north york pain clinic,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic Pain Treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr trauma therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dealing with chronic back pain,Exact match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Chronic back Pain treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
best therapy for childhood sexual abuse,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain physio,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""best chronic pain treatment""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
trauma informed counselling,Exact match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""Trauma Informed Therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
gut health nutritionist,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""gut health counseling""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr canada,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dangers of emdr therapy,Phrase match,None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
e m d r therapy,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Therapist""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
dr melissa holowaty,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
ibs relief biotic,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""ibs natural treatment""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy means,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""emdr therapy""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr tapping,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""Trauma Eye movement""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr and trauma,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""EMDR Trauma Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
emt eye movement therapy,Exact match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy toronto,Phrase match (close variant),None,ARC - Search - Services,Therapy - EMDR,"""eye movement therapy for trauma""",0,CAD,0.00,4,0.00%,0,0.00%,0.00,0.00
eating for ibs,Phrase match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
emdr therapy mississauga,Phrase match (close variant),None,ARC - Search - Services,Therapy - Trauma & PTSD,"""trauma-informed therapy""",0,CAD,0.00,4,0.00%,0,0.00%,0.00,0.00
best treatment for ibs,Exact match (close variant),None,ARC - Search - Services,Therapy - IBS & Gut Health,"""treatment for ibs""",0,CAD,0.00,1,0.00%,0,0.00%,0.00,0.00
chronic pain groups near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Illness,"""chronic illness support""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
fibromyalgia therapy near me,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""chronic pain therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
pain clinic north york,Phrase match (close variant),None,ARC - Search - Services,Therapy - Chronic Pain,"""Pain Management Therapy""",0,CAD,0.00,2,0.00%,0,0.00%,0.00,0.00
