Campaign,Asset Group,Status,Type,Targeting,Keywords,Geographic Targeting,Networks,Bid Strategy Type,Bid Strategy Name,Target CPA,Max CPC,Enhanced CPC
wrights_broward_county_search,coral_springs_energy_search,Disabled,Search,Service + Local,energy efficiency coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Target CPA,,30.00,,
wrights_broward_county_search,coral_springs_commercial_search,Disabled,Search,Service + Local,commercial solutions coral springs near me,"Coral Springs, FL - ZIP codes: 33065, 33067, 33071, 33073, 33076, 33077",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_county_search,pembroke_pines_windows_search,Disabled,Search,Service + Local,impact windows pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Target CPA,,40.00,,
wrights_broward_county_search,pembroke_pines_doors_search,Disabled,Search,Service + Local,impact doors pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Manual CPC,,,2.50,Disabled
wrights_broward_county_search,pembroke_pines_hurricane_search,Disabled,Search,Service + Local,hurricane protection pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Manual CPC,,,2.75,Disabled
wrights_broward_county_search,pembroke_pines_energy_search,Disabled,Search,Service + Local,energy efficiency pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Target CPA,,30.00,,
wrights_broward_county_search,pembroke_pines_commercial_search,Disabled,Search,Service + Local,commercial solutions pembroke pines near me,"Pembroke Pines, FL - ZIP codes: 33023, 33024, 33025, 33026, 33027, 33028, 33029, 33082, 33084",Search only,Manual CPC,,,3.00,Disabled
wrights_broward_county_search,miramar_windows_search,Disabled,Search,Service + Local,impact windows miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Target CPA,,38.00,,
wrights_broward_county_search,miramar_doors_search,Disabled,Search,Service + Local,impact doors miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Manual CPC,,,2.25,Disabled
wrights_broward_county_search,miramar_hurricane_search,Disabled,Search,Service + Local,hurricane protection miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Manual CPC,,,2.50,Disabled
wrights_broward_county_search,miramar_energy_search,Disabled,Search,Service + Local,energy efficiency miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Target CPA,,28.00,,
wrights_broward_county_search,miramar_commercial_search,Disabled,Search,Service + Local,commercial solutions miramar near me,"Miramar, FL - ZIP codes: 33023, 33025, 33027, 33029",Search only,Manual CPC,,,2.75,Disabled
