Ad asset report
"December 8, 2025 - January 6, 2026"
Conversion action,Asset status,Asset,Asset type,Level,Status,Status reason,Added by,Last updated,Currency code,TrueView avg. CPV,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Clicks,CTR,Avg. CPC,Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost,Conv. value / click,Value / conv.,All conv.,Cost / all conv.,All conv. rate,All conv. value,All conv. value / cost,All conv. value / click,Value / all conv.,All conv. (by conv. time),All conv. value (by conv. time),Value / all conv. (by conv. time),Campaign ID,Ad group ID,Item ID,Policy details,Ad group,Campaign,Phone calls,Phone impr.,PTR
Local actions - Website visits,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Feb 11, 2025, 2:58 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,22218202053,0,180901411326,, --,2TON - West Coast - Search - Window,0,0,0
Wright's - GA4 (web) sc_click_to_call,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Account,Eligible,,Advertiser,"Nov 1, 2024, 4:30 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,180901411326,, --, --,0,0,0
Lead form - Submit,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Account,Eligible,,Advertiser,"Nov 1, 2024, 4:30 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,180901411326,, --, --,0,0,0
Wright's - GA4 (web) request_an_estimate,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Logo,Campaign,Eligible,,Advertiser,"Oct 9, 2025, 3:00 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,23106445678,0,180901411326,, --,campaign 5,0,0,0
Local actions - Directions,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Nov 1, 2024, 4:33 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21799326472,0,180901411326,, --,2TON - Broward - Search - Windows,0,0,0
Unbounce Landing Page Submission (http://wrightsimpactwindowanddoor.com (WPFX)),Paused,"About Wright's
Learn About South Florida's Premier
Hurricane Window & Door Company.
https://wrightsimpactwindowanddoor.com/about-us/?_location=cc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688091730,0,23811751297,, --,County: Collier - Window,0,0,0
Unbounce Landing Page Submission (http://wrightsimpactwindowanddoor.com (WPFX)),Paused,"Impact Patio Doors
https://wrightsimpactwindowanddoor.com/impact-doors/patio-doors/?_location=sc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688092057,0,83240921535,, --,County: Sarasota - Door,0,0,0
ctm_call_adextension,Enabled,https://tpc.googlesyndication.com/simgad/15538050398611347419,Business logo,Campaign,Eligible,,Advertiser,"Jan 23, 2025, 4:52 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,22158869891,0,180901411326,, --,2TON - Palm Beach - Search - Window,0,0,0
Stream - Request an Estimate - Google Ads,Paused,"Impact Bifold Doors
https://wrightsimpactwindowanddoor.com/impact-doors/bifold-doors/?_location=bc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1404551172,0,83199043028,, --,County: Broward - Door,0,0,0
Unbounce Form - Google Ads,Paused,"Impact Bifold Doors
https://wrightsimpactwindowanddoor.com/impact-doors/bifold-doors/?_location=bc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1404551172,0,83199043028,, --,County: Broward - Door,0,0,0
Wright's - GA4 (web) unbounce_landing_page_submission,Paused,"Impact Bifold Doors
https://wrightsimpactwindowanddoor.com/impact-doors/bifold-doors/?_location=bc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1404551172,0,83199043028,, --,County: Broward - Door,0,0,0
Wright's - GA4 (web) sc_click_to_call,Enabled,Wright's,Business name,Campaign,Not eligible,Disapproved,Advertiser,"Oct 9, 2025, 4:28 PM",USD,0,0,0,0, --,0,0,0, --,0,1.00,0, --,400.00,0,0,400.00,1.00,0, --,400.00,0,0,400.00,1.00,400.00,400.00,23106445678,0,267954014492,, --,campaign 5,0,0,0
Wright's - GA4 (web) estimate_form,Enabled,https://tpc.googlesyndication.com/simgad/9590382717929184512,Image,Campaign,Eligible,,Advertiser,"Oct 9, 2024, 7:00 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21788913744,0,131105397398,, --,2TON - Palm Beach - Search - Door,0,0,0
Wright's - GA4 (web) request_an_estimate,Enabled,https://tpc.googlesyndication.com/simgad/9590382717929184512,Image,Campaign,Eligible,,Advertiser,"Oct 9, 2024, 7:00 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21788913744,0,131105397398,, --,2TON - Palm Beach - Search - Door,0,0,0
Stream - Request an Estimate - Google Ads,Enabled,Impact Windows and Doors,Lead form,Campaign,Eligible,,Advertiser, --,USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688091730,0,12789755218,, --,County: Collier - Window,0,0,0
Unbounce Landing Page Submission (http://wrightsimpactwindowanddoor.com (WPFX)),Enabled,Impact Windows and Doors,Lead form,Campaign,Eligible,,Advertiser, --,USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071155,0,12789755218,, --,County: Miami-Dade - Window,0,0,0
Local actions - Directions,Enabled,Impact Windows and Doors,Lead form,Campaign,Eligible,,Advertiser, --,USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071152,0,12789755218,, --,County: Martin/Lucie - Window,0,0,0
Local actions - Other engagements,Paused,"Customer Reviews
Read Testimonials From Customers of
Wright's Impact Window & Door.
https://wrightsimpactwindowanddoor.com/testimonials/?_location=lc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1682689850,0,23811751177,, --,County: Lee - Window,0,0,0
Calls From Ads,Enabled,(941) 260-2800,Call,Campaign,Eligible,,Advertiser,"Oct 31, 2024, 4:30 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21803482035,0,180717094824,, --,2TON - West Coast - Search - Doors,0,0,0
Local actions - Other engagements,Enabled,(941) 260-2800,Call,Campaign,Eligible,,Advertiser,"Oct 31, 2024, 4:30 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21803482035,0,180717094824,, --,2TON - West Coast - Search - Doors,0,0,0
Calls From Ads,Enabled,https://tpc.googlesyndication.com/simgad/5416528579222142424,Image,Campaign,Eligible,,Advertiser,"Oct 14, 2024, 2:01 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21803482035,0,134635751801,, --,2TON - West Coast - Search - Doors,0,0,0
Wright's - GA4 (web) ctm_phone_call,Enabled,https://tpc.googlesyndication.com/simgad/5416528579222142424,Image,Campaign,Eligible,,Advertiser,"Oct 14, 2024, 2:01 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21803482035,0,134635751801,, --,2TON - West Coast - Search - Doors,0,0,0
Wright's - GA4 (web) contactpage_form,Enabled,https://tpc.googlesyndication.com/simgad/14135545808720998971,Image,Campaign,Eligible,,Advertiser,"Oct 14, 2024, 2:01 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21803482035,0,134635751786,, --,2TON - West Coast - Search - Doors,0,0,0
Unbounce Form - Google Ads,Paused,"Sliding Glass Doors
https://wrightsimpactwindowanddoor.com/impact-doors/sliding-glass-doors/?_location=sc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688092057,0,83202000959,, --,County: Sarasota - Door,0,0,0
Local actions - Other engagements,Enabled,https://tpc.googlesyndication.com/simgad/9590382717929184512,Image,Campaign,Eligible,,Advertiser,"Jan 23, 2025, 4:52 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,22158869891,0,131105397398,, --,2TON - Palm Beach - Search - Window,0,0,0
Unbounce Form - Google Ads,Paused,"Hurricane Impact Doors
Protect Your Home & Family with
Hurricane-Rated Impact Doors.
https://wrightsimpactwindowanddoor.com/impact-doors/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751741,, --,County: Palm Beach & Hendry - Door,0,0,0
Wright's - GA4 (web) sc_click_to_call,Enabled,(561) 250-8988,Call,Campaign,Eligible,,Advertiser,"Oct 31, 2024, 4:28 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21788913744,0,180717005268,, --,2TON - Palm Beach - Search - Door,0,0,0
Unbounce Form - Google Ads,Paused,Financing Available,Callout,Account,Paused,Paused,Advertiser,"Sep 23, 2025, 6:49 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,23852556954,, --, --,0,0,0
Page view (wrightsimpactwindowanddoor.com/),Paused,Financing Available,Callout,Account,Paused,Paused,Advertiser,"Sep 23, 2025, 6:49 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,23852556954,, --, --,0,0,0
CHEQ for PPC - Invalid Users,Paused,Financing Available,Callout,Account,Paused,Paused,Advertiser,"Sep 23, 2025, 6:49 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,23852556954,, --, --,0,0,0
MCFX - SQL,Enabled,Financing Available,Callout,Campaign,Eligible,,Advertiser,"Feb 16, 2022, 4:54 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1585701519,0,23852556954,, --,County: Broward - Window,0,0,0
Local actions - Website visits,Enabled,Match Your Aesthetic,Callout,Campaign,Eligible,,Advertiser,"Feb 16, 2022, 4:54 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1585701519,0,23852556936,, --,County: Broward - Window,0,0,0
Wright's - GA4 (web) unbounce_submission,Paused,"Custom Windows
https://wrightsimpactwindowanddoor.com/impact-windows/custom-windows/?_location=sc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1682679308,0,83205655376,, --,County: Sarasota - Window,0,0,0
Wright's - GA4 (web) contactpage_form,Enabled,https://tpc.googlesyndication.com/simgad/2435530344589653440,Image,Campaign,Eligible,,Advertiser,"Sep 25, 2023, 4:57 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1707794837,0,53301739192,, --,Branded - Search,0,0,0
Unbounce Form - Google Ads,Enabled,Financing Available,Callout,Campaign,Eligible,,Advertiser,"Feb 16, 2022, 4:54 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1707794837,0,23852556954,, --,Branded - Search,0,0,0
Clicks to call,Paused,Financing Available,Callout,Account,Paused,Paused,Advertiser,"Sep 23, 2025, 6:49 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,23852556954,, --, --,0,0,0
Wright's - GA4 (web) livechat_submit,Paused,Financing Available,Callout,Account,Paused,Paused,Advertiser,"Sep 23, 2025, 6:49 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,23852556954,, --, --,0,0,0
Stream - Request an Estimate - Google Ads,Paused,Match Your Aesthetic,Callout,Account,Paused,Paused,Advertiser,"Feb 9, 2024, 4:57 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,23852556936,, --, --,0,0,0
Calls From Ads,Paused,"Hurricane Impact Doors
Protect Your Home & Family with
Hurricane-Rated Impact Doors.
https://wrightsimpactwindowanddoor.com/impact-doors/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751741,, --,County: Palm Beach & Hendry - Door,0,0,0
Wright's - GA4 (web) unbounce_landing_page_submission,Paused,"Customer Reviews
Read Testimonials From Customers of
Wright's Impact Window & Door.
https://wrightsimpactwindowanddoor.com/testimonials/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751558,, --,County: Palm Beach & Hendry - Door,0,0,0
Calls From Ads,Paused,"Residential Services
https://wrightsimpactwindowanddoor.com/residential/",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:45 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21183944156,0,245440684618,, --,2TON - Broward - Performance Max,0,0,0
Wright's - GA4 (web) live_chat_form,Paused,"Residential Services
https://wrightsimpactwindowanddoor.com/residential/",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:45 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,21183944156,0,245440684618,, --,2TON - Broward - Performance Max,0,0,0
Local actions - Other engagements,Paused,"Impact Bifold Doors
https://wrightsimpactwindowanddoor.com/impact-doors/bifold-doors/?_location=sc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688092057,0,83187293587,, --,County: Sarasota - Door,0,0,0
Wright's - GA4 (web) unbounce_landing_page_submission,Paused,"Impact Windows
Protect Your Home With Hurricane
Impact Windows from Wright's.
https://wrightsimpactwindowanddoor.com/impact-windows/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751333,, --,County: Palm Beach & Hendry - Door,0,0,0
Local actions - Website visits,Paused,"About Wright's
Learn About South Florida's Premier
Hurricane Window & Door Company.
https://wrightsimpactwindowanddoor.com/about-us/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751144,, --,County: Palm Beach & Hendry - Door,0,0,0
Wright's - GA4 (web) request_estimate,Paused,"Hurricane Impact Doors
Protect Your Home & Family with
Hurricane-Rated Impact Doors.
https://wrightsimpactwindowanddoor.com/impact-doors/?_location=cc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688091730,0,23811751654,, --,County: Collier - Window,0,0,0
Unbounce Click to Call (http://wrightsimpactwindowanddoor.com (WPFX)),Paused,Reduce Insurance Costs,Callout,Account,Paused,Paused,Advertiser,"Feb 9, 2024, 4:57 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,0,0,23852556945,, --, --,0,0,0
Stream - Request an Estimate - Google Ads,Paused,"Wright's Guarantees
100% Money Back Guarantee.
100% Lifetime Guarantee. See More.
https://wrightsimpactwindowanddoor.com/our-guarantee/?_location=lc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688091553,0,23811751345,, --,County: Lee - Door,0,0,0
Local actions - Website visits,Enabled,Reduce Insurance Costs,Callout,Campaign,Eligible,,Advertiser,"Feb 16, 2022, 4:54 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1585701519,0,23852556945,, --,County: Broward - Window,0,0,0
Local actions - Other engagements,Enabled,https://tpc.googlesyndication.com/simgad/13125577961190924769,Image,Campaign,Eligible,,Advertiser,"Sep 25, 2023, 4:57 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1707794837,0,53334343194,, --,Branded - Search,0,0,0
Wright's - GA4 (web) contactpage_form,Enabled,https://tpc.googlesyndication.com/simgad/13125577961190924769,Image,Campaign,Eligible,,Advertiser,"Sep 25, 2023, 4:57 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1707794837,0,53334343194,, --,Branded - Search,0,0,0
Wright's - GA4 (web) request_estimate,Paused,"Impact Front Doors
https://wrightsimpactwindowanddoor.com/impact-doors/front-doors/?_location-cc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1688743371,0,83200483160,, --,County: Collier - Door,0,0,0
Wright's - GA4 (web) request_estimate,Paused,"Photo Gallery
Browse Our Photo Gallery of Impact
Windows and Doors Today!
https://wrightsimpactwindowanddoor.com/gallery/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751378,, --,County: Palm Beach & Hendry - Door,0,0,0
Local actions - Website visits,Paused,"Photo Gallery
Browse Our Photo Gallery of Impact
Windows and Doors Today!
https://wrightsimpactwindowanddoor.com/gallery/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751378,, --,County: Palm Beach & Hendry - Door,0,0,0
Local actions - Other engagements,Paused,"Impact Windows
Protect Your Home With Hurricane
Impact Windows from Wright's.
https://wrightsimpactwindowanddoor.com/impact-windows/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751333,, --,County: Palm Beach & Hendry - Door,0,0,0
MCFX - Sale,Paused,"About Wright's
Learn About South Florida's Premier
Hurricane Window & Door Company.
https://wrightsimpactwindowanddoor.com/about-us/?_location=pc",Sitelink,Campaign,Paused,Paused,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071158,0,23811751144,, --,County: Palm Beach & Hendry - Door,0,0,0
Stream - Request an Estimate - Google Ads,Paused,"Casement Windows
https://wrightsimpactwindowanddoor.com/impact-windows/impact-windows-casement-windows/?_location=md",Sitelink,Campaign,Paused,Paused; Disapproved,Advertiser,"Sep 23, 2025, 6:44 PM",USD,0,0,0,0, --,0,0,0, --,0,0.00,0, --,0.00,0,0,0,0.00,0, --,0.00,0,0,0,0.00,0.00,0,1586071155,0,83204941871,"Destination not working (Disapproved, 404, desktop)", --,County: Miami-Dade - Window,0,0,0
