Campaign,Ad Group,Keyword,Criterion Type,Status,Max CPC,Final URL,Final mobile URL,Tracking template,Custom parameters
TPPC - Regional - Facials,Facials - Scottsdale,hydrafacial scottsdale az,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,scottsdale facial spa,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Scottsdale,hydrafacials scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,scottsdale spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,reflexology scottsdale az,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,scottsdale facial,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,scottsdale spa day pass,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,spas in scottsdale az,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,energy spa scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,the spa scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,salt cave scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,best massages scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,massages scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,best spa in scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,scalp spa scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,spa in scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,spas scottsdale az,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,best affordable spas in scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,scottsdale med spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,medspa scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,med spa in scottsdale az,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,japanese head spa scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,hydrafacial scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,head spa scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,scottsdale head spa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,scottsdale headspa,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,head spa in scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,spa at westin kierland,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,best spa scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Medspas,Medspas - Scottsdale,sauna scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,filler specials near me,Exact,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,chin filler near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,under eye filler,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,lip filler,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,lip filler specials near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,lip filler places near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,russian lip filler near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,russian lips near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,affordable lip filler near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,lip filler dissolver cost near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,lip filler dissolver near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Local,lip fillers,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,dermaplaning,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,dermaplane facial,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,derma facial,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,dermaplaning face,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,dermaplaning facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,best affordable facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,facial care near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,massages and facials near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,extraction facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,esthetician near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,face deep cleaning near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,monthly facial membership near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,where to get a hydrafacial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,endo lift near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,acne facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,facials and massages near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,beauty facial near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,facials near me open now,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,microneedling pen near me,Phrase,Enabled,,,,,
TPPC - Regional - Facials,Facials - Local,hydrafacial near me,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Scottsdale,lip filler scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Scottsdale,lip flip scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Fillers,Fillers - Scottsdale,fillers scottsdale,Phrase,Enabled,,,,,
TPPC - Regional - Laser,Laser Hair Removal - General,electrolysis hair removal,Phrase,Enabled,,,,,
TPPC - Regional - Laser,Laser Hair Removal - General,electrolysis on face,Phrase,Enabled,,,,,
TPPC - Regional - Laser,Laser Hair Removal - General,cost of laser hair removal in usa,Phrase,Enabled,,,,,
TPPC - Regional - Laser,Laser Hair Removal - General,laser hair treatment,Phrase,Enabled,,,,,
TPPC - Regional - Laser,Laser Hair Removal - Local,pico laser near me,Phrase,Enabled,,,,,
TPPC - Regional - Laser,Laser Hair Removal - Local,q switched nd yag laser near me,Phrase,Enabled,,,,,
