﻿Campaign	Labels	Campaign Type	Networks	Budget	Budget type	EU political ads	Standard conversion goals	Customer acquisition	Languages	Bid Strategy Type	Bid Strategy Name	Target CPA	Start Date	End Date	Ad Schedule	Ad rotation	Content exclusions	Targeting method	Exclusion method	Google Merchant Center feed	Merchant Identifier	Country of Sale	Feed label	Campaign Priority	Local Inventory Ads	Shopping ads on excluded brands	Inventory filter	Audience targeting	Flexible Reach	Text customization	Final URL expansion	Image enhancement	Image generation	Landing page images	Video enhancement	Brand guidelines	Brand business name	Brand font	Custom parameters	Asset Group	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Long headline 1	Long headline 2	Long headline 3	Long headline 4	Long headline 5	Description 1	Description 2	Description 3	Description 4	Description 5	Call to action	Business name	Video ID 1	Video ID 2	Video ID 3	Video ID 4	Video ID 5	Path 1	Path 2	Final URL	Final mobile URL	Audience signal	Age demographic	Gender demographic	Income demographic	Parental status demographic	Remarketing audience segments	Interest categories	Life events	Custom audience segments	Detailed demographics	Ad Group	ID	Location	Reach	Location groups	Radius	Unit	Bid Modifier	Account keyword type	Keyword	Criterion Type	Search theme	Incremental	Link Text	Description Line 1	Description Line 2	Upgraded extension	Source	Link source	Tracking template	Final URL suffix	Header	Snippet Values	Callout text	Campaign Status	Ad Group Status	Asset Group Status	Status	Approval Status	Ad strength	Comment
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											C-Suite Resume Writing Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Leadership Resume Writing Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											VP Resume Writing Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Director Resume Writing Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Senior Management Resume Writing						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Professional Resume Writing Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Career Advancement Resume Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Executive Career Coaching						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Job Search Resume Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"	National - Senior Executive	Senior Executive Resume	VP Level Resume Writing	Director Level Resume Services	Senior Management Resume Help	Executive Level Career	C-Level Resume Writing Today	Senior Leadership Resume	Executive Career Advancement	Senior Professional Resume	Management Level Resume	Executive Resume Services	Senior Career Development	Leadership Resume Writing	Executive Job Search Services	Senior Professional Career	Senior Executive Resume Writing Service Professional Career Advancement	VP Director Level Resume Writing Service Executive Career Coaching	Senior Management Resume Help C-Level Professional Career Services	Executive Level Career Coaching Senior Leadership Resume Writing	Senior Professional Resume Help Management Level Career Development	Senior executive resume writing VP director level career advancement services	C-level resume writing senior management professional career coaching help	Senior leadership resume services executive level career development	VP director resume writing senior professional career advancement	Management level resume help executive job search career services																																														Enabled		Enabled		Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Senior Executive Resume	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						VP Level Resume Writing	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Director Level Services	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Senior Management Help	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						C-Level Resume Writing	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Senior Leadership Resume	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Executive Career Advancement	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																																	callout						Senior Professional Help	Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Senior Executive Resume Writing						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											VP Level Resume Writing Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Director Level Resume Services						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Senior Management Resume Help						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Executive Level Career Coaching						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											C-Level Resume Writing						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Senior Leadership Resume Service						search_theme							Enabled			Enabled	Approved	Excellent	
MyExpertResume National Executive		Performance Max	Google search;Search Partners	89.99	Daily	Doesn't have EU political ads	Account-level	Bid equally	en	Maximize conversions			2025-12-09		(Monday[05:00-22:00]);(Tuesday[05:00-22:00]);(Wednesday[05:00-22:00]);(Thursday[05:00-22:00]);(Friday[05:00-22:00]);(Saturday[05:00-22:00]);(Sunday[05:00-22:00])	Optimize for clicks		Location of presence or Area of interest	Location of presence					Low	Enabled	Disabled				Enabled	Enabled	Enabled	Disabled	Enabled	Enabled	Disabled			"{""_campaignname"":""MyExpertResume+National+Executive""}"																																																											Executive Career Advancement						search_theme							Enabled			Enabled	Approved	Excellent	
