search_term,decision,recommended_action,campaign,ad_group,suggested_ad_group,clicks,impressions,cost,conversions,reason,client_prompt
gay therapists near me,Review,"Client to mark Focus, Keep, or Exclude",TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,2.0,1.0,5.74,0.0,Specialized therapy intent needs client confirmation before focus expansion.,"Reply Focus, Keep, Exclude, or Geo."
cognitive remediation therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,1.0,5.33,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
family therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Family Therapy - Chicago,1.0,7.0,4.27,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
kids therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,1.0,8.0,3.78,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
licensed therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,2.0,3.63,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
therapy offices near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,1.0,2.0,3.61,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
360 therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
a therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
abc therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
action behavior center chicago,Review,Review before adding,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
action behavior center near me,Review,Review before adding,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,2.0,0.0,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
action behavior centers logan square,Review,Review before adding,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
action behavior centers near me,Review,Review before adding,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Near Me,0.0,8.0,0.0,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
adhd therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,7.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
adhd therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
adolescent therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
advance therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
advocate therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
anxiety treatment center near me,Review,Review before adding,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
applied behavior analysis therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
at home therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
behavior health for kids near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
behavior therapy for kids near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
behavioral health for kids near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
behavioral therapist for children near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,4.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
behavioral therapist for kids near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
behavioral therapy for kids near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
best anxiety therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
best child psychologists near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,0.0,6.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
best emdr therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
best male therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,3.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
best therapist for teenager near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
best therapists near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
cbt center near me,Review,Review before adding,TheraPPC - Regional,Therapist - Near Me,Therapist - Near Me,0.0,1.0,0.0,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
chicago emdr,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,0.0,7.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
chicago emdr therapy,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child behavioral therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,10.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child grief therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child parent psychotherapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child psychologist chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Chicago,Psychology - Chicago,0.0,27.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child psychologist evaluation near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child psychotherapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child therapist for anxiety near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,3.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,12.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child therapists near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
child therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
children play therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
children therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,5.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
children therapy near me near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
children's therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
children's therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
childrens therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
chronic pain therapists near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
city kids chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
citykids chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Chicago,Child Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
clinical psychologist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
cognitive behavioral therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
cognitive behavioral therapy cbt near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
cognitive behavioral therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
cognitive therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
couple therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
couple therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,7.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
couples counselors near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Couples Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
couples therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Couples Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
couples therapists near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Couples Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
couples therapy that takes insurance near me,Review,"Client to mark Focus, Keep, or Exclude",TheraPPC - Regional,Therapist - Near Me,Couples Therapy - Chicago,0.0,1.0,0.0,0.0,"Insurance language converted once, but coverage terms need client confirmation.","Reply Focus, Keep, Exclude, or Geo."
d&d therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
disordered eating therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
drug and alcohol therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
eating disorder therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
edmr near me,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
educational psychologist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Psychology - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr near me,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr specialist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapist chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,8.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapists chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,0.0,4.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapists near me,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,EMDR Therapy - Chicago,0.0,42.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr therapy near me near me,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Near Me,EMDR Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdr treatment in chicago,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emdrchicago,Review,Review for city or ZIP focus,TheraPPC - Regional,EMDR Therapy - Chicago,EMDR Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
emotional therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
erp therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,3.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
esa therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
family constellation therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Family Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
family guidance center near me,Review,Review before adding,TheraPPC - Regional,Therapist - Near Me,Family Therapy - Chicago,0.0,3.0,0.0,0.0,Center-seeking wording may indicate competitor or institution intent.,"Reply Focus, Keep, Exclude, or Geo."
family therapist near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Family Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
feeding therapy near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Child Therapy - Near Me,Therapy - Chicago,0.0,1.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
female therapists near me,Review,Review for city or ZIP focus,TheraPPC - Regional,Therapist - Near Me,Therapy - Chicago,0.0,2.0,0.0,0.0,Geo-modified service term should inform Chicago targeting.,"Reply Focus, Keep, Exclude, or Geo."
